challenge,tgen,tsplit,tsign,tver,resWithNonces
2,16.057,47.226,33.835,36.43,SUCCESS
0,15.79,37.594,26.621,26.831,SUCCESS
0,15.828,29.708,21.415,24.81,SUCCESS
0,11.723,29.899,22.475,31.218,SUCCESS
0,15.488,43.806,30.135,33.911,SUCCESS
2,11.423,30.724,18.566,25.607,SUCCESS
0,11.597,28.593,19.858,22.562,SUCCESS
0,14.408,36.438,34.439,30.508,SUCCESS
0,11.43,37.984,26.164,31.522,SUCCESS
0,11.894,30.051,18.804,23.402,SUCCESS
0,13.896,59.947,31.143,38.842,SUCCESS
2,14.075,38.693,27.468,27.181,SUCCESS
0,10.88,29.061,19.11,24.93,SUCCESS
0,12.575,60.004,31.137,36.279,SUCCESS
0,13.889,28.115,18.226,22.947,SUCCESS
2,13.472,28.769,23.843,35.019,SUCCESS
0,12.58,34.877,19.121,23.02,SUCCESS
2,13.645,39.93,23.663,33.251,SUCCESS
0,16.093,35.549,26.667,31.043,SUCCESS
0,11.204,33.589,20.209,24.758,SUCCESS
2,16.157,29.061,18.892,22.957,SUCCESS
0,12.012,30.383,18.813,23.354,SUCCESS
2,16.686,52.814,25.721,33.493,SUCCESS
0,14.147,39.286,25.274,22.056,SUCCESS
0,11.602,30.861,19.031,23.073,SUCCESS
1,35.308,46.764,33.669,44.43,SUCCESS
2,14.855,39.233,31.373,24.512,SUCCESS
2,10.684,29.016,20.023,25.973,SUCCESS
0,24.456,44.749,30.929,34.845,SUCCESS
0,14.515,27.693,19.285,23.806,SUCCESS
0,12.532,31.162,20.124,23.183,SUCCESS
1,16.375,55.284,34.631,33.75,SUCCESS
1,11.046,30.689,25.437,34.578,SUCCESS
2,13.617,27.302,20.272,24.082,SUCCESS
0,13.5,35.974,22.361,26.154,SUCCESS
0,16.861,40.057,26.106,32.705,SUCCESS
0,11.574,29.217,19.39,24.533,SUCCESS
2,16.588,34.376,18.818,26.597,SUCCESS
2,11.525,31.905,19.207,24.613,SUCCESS
2,16.879,42.12,26.105,34.536,SUCCESS
0,27.786,35.775,20.003,21.648,SUCCESS
1,14.282,31.111,20.065,24.506,SUCCESS
2,14.616,40.911,25.963,35.062,SUCCESS
2,21.028,46.749,28.514,38.146,SUCCESS
0,11.458,29.019,18.79,23.314,SUCCESS
1,16.202,39.61,25.793,33.247,SUCCESS
2,27.629,38.832,24.316,29.543,SUCCESS
2,13.116,34.332,20.805,25.833,SUCCESS
0,19.565,40.473,27.944,32.662,SUCCESS
0,10.294,38.862,21.14,33.451,SUCCESS
2,11.265,24.444,18.832,24.337,SUCCESS
0,12.882,30.809,20.69,24.937,SUCCESS
0,15.442,41.181,29.368,34.526,SUCCESS
2,10.525,31.06,19.362,29.423,SUCCESS
1,15.854,30.59,19.494,23.852,SUCCESS
0,11.58,43.287,19.963,25.464,SUCCESS
1,19.446,42.635,27.444,35.017,SUCCESS
1,16.066,30.045,18.23,23.452,SUCCESS
2,10.928,35.263,18.865,27.92,SUCCESS
1,11.203,32.244,27.887,35.893,SUCCESS
1,15.695,51.471,26.395,35.909,SUCCESS
2,10.402,28.619,18.796,24.54,SUCCESS
0,12.83,31.865,20.927,26.685,SUCCESS
1,18.567,51.372,38.488,33.542,SUCCESS
1,13.588,30.5,19.435,24.403,SUCCESS
1,11.134,29.242,21.912,30.717,SUCCESS
2,16.72,55.674,28.798,34.948,SUCCESS
2,14.131,35.294,20.479,23.972,SUCCESS
0,12.193,30.337,19.764,27.653,SUCCESS
2,16.69,48.839,29.286,38.87,SUCCESS
2,11.743,29.469,23.349,33.143,SUCCESS
1,12.888,28.712,22.008,27.253,SUCCESS
2,13.458,42.579,26.65,47.492,SUCCESS
0,22.723,53.846,44.703,45.644,SUCCESS
1,14.958,30.647,19.003,26.664,SUCCESS
2,13.005,37.335,22.182,36.111,SUCCESS
1,16.989,42.162,27.094,34.815,SUCCESS
2,11.932,36.181,23.338,27.277,SUCCESS
1,11.167,40.56,23.586,31.966,SUCCESS
2,16.773,43.661,30.322,30.325,SUCCESS
2,22.143,45.014,29.216,34.246,SUCCESS
1,14.966,36.032,18.823,27.503,SUCCESS
0,10.55,29.77,33.178,51.56,SUCCESS
0,16.397,40.244,19.735,22.874,SUCCESS
2,17.76,38.532,27.846,31.718,SUCCESS
1,9.735,25.124,20.013,22.864,SUCCESS
2,11.78,29.224,20.817,27.418,SUCCESS
1,20.859,41.974,28.523,37.981,SUCCESS
1,13.323,36.418,24.317,25.694,SUCCESS
2,10.659,43.039,30.458,33.066,SUCCESS
2,18.03,42.057,26.252,41.382,SUCCESS
0,12.32,27.451,19.438,22.359,SUCCESS
2,11.116,36.143,22.497,32.522,SUCCESS
2,18.071,51.107,34.002,38.199,SUCCESS
1,14.775,30.396,22.01,23.477,SUCCESS
0,12.708,38.077,26.973,33.559,SUCCESS
2,20.349,54.751,44.69,56.894,SUCCESS
0,15.199,32.443,20.339,26.857,SUCCESS
0,11.796,34.599,26.347,33.695,SUCCESS
2,18.482,61.905,38.603,45.909,SUCCESS
2,10.521,26.077,21.889,23.201,SUCCESS
