Name,logn,logq,RealRes,RealResPol,result,error,errorPol,tinit,tcsv,tenc,tdist,tdec,in_mean,in_std,in_min,in_max
Data/dataUsedFor1k/MAC000004.txt11,12,106,10.859000,20.981817,21.077981,94.106099,0.458324,152.695961,21.075096,92.487390,968.634153,105.052422,0.026511,0.065392,0.000000,0.548000
Data/dataUsedFor1k/MAC000004.txt12,12,106,9.121200,19.620099,19.601629,114.901869,-0.094138,152.695961,21.075096,92.487390,968.634153,105.052422,0.022269,0.058881,0.000000,0.326000
Data/dataUsedFor1k/MAC000004.txt13,12,106,9.092800,19.601061,19.517043,114.642829,-0.428638,152.695961,21.075096,92.487390,968.634153,105.052422,0.022199,0.058999,0.000000,0.264000
Data/dataUsedFor1k/MAC000004.txt14,12,106,9.685000,20.020106,20.035880,106.875374,0.078792,152.695961,21.075096,92.487390,968.634153,105.052422,0.023645,0.058114,0.000000,0.279000
Data/dataUsedFor1k/MAC000004.txt15,12,106,7.775200,18.591513,18.611577,139.371042,0.107921,152.695961,21.075096,92.487390,968.634153,105.052422,0.018982,0.055120,0.000000,0.313000
Data/dataUsedFor1k/MAC000004.txt16,12,106,8.195800,18.901758,18.897073,130.570206,-0.024788,152.695961,21.075096,92.487390,968.634153,105.052422,0.020009,0.055491,0.000000,0.299000
Data/dataUsedFor1k/MAC000004.txt17,12,106,8.710600,19.298511,19.238922,120.867931,-0.308774,152.695961,21.075096,92.487390,968.634153,105.052422,0.021266,0.057200,0.000000,0.318000
Data/dataUsedFor1k/MAC000004.txt18,12,106,9.212600,19.687425,19.768036,114.576085,0.409457,152.695961,21.075096,92.487390,968.634153,105.052422,0.022492,0.058939,0.000000,0.353000
Data/dataUsedFor1k/MAC000004.txt19,12,106,9.548000,19.929903,20.005804,109.528735,0.380838,152.695961,21.075096,92.487390,968.634153,105.052422,0.023311,0.058813,0.000000,0.262000
Data/dataUsedFor1k/MAC000004.txt20,12,106,9.768200,20.101759,20.124553,106.021102,0.113395,152.695961,21.075096,92.487390,968.634153,105.052422,0.023848,0.059637,0.000000,0.313000
Data/dataUsedFor1k/MAC000004.txt21,12,106,9.912200,20.207891,20.279297,104.589262,0.353357,152.695961,21.075096,92.487390,968.634153,105.052422,0.024200,0.059722,0.000000,0.299000
Data/dataUsedFor1k/MAC000004.txt22,12,106,9.765800,20.101539,20.200562,106.850049,0.492615,152.695961,21.075096,92.487390,968.634153,105.052422,0.023842,0.059746,0.000000,0.308000
Data/dataUsedFor1k/MAC000005.txt0,12,106,22.079800,29.784490,29.706412,34.541126,-0.262145,148.220918,17.342810,94.805564,986.679354,86.141933,0.053906,0.093383,0.000000,1.136000
Data/dataUsedFor1k/MAC000005.txt1,12,106,21.609600,29.181469,29.200018,35.125214,0.063564,148.220918,17.342810,94.805564,986.679354,86.141933,0.052758,0.081043,0.000000,0.799000
Data/dataUsedFor1k/MAC000005.txt2,12,106,21.765200,29.321983,29.409647,35.122335,0.298969,148.220918,17.342810,94.805564,986.679354,86.141933,0.053138,0.082323,0.000000,0.946000
Data/dataUsedFor1k/MAC000005.txt3,12,106,20.681400,28.524007,28.505778,37.832921,-0.063910,148.220918,17.342810,94.805564,986.679354,86.141933,0.050492,0.082794,0.000000,1.096000
Data/dataUsedFor1k/MAC000005.txt4,12,106,25.335200,32.534109,32.613124,28.726529,0.242866,148.220918,17.342810,94.805564,986.679354,86.141933,0.061854,0.106760,0.000000,1.979000
Data/dataUsedFor1k/MAC000005.txt5,12,106,26.830000,33.898256,33.956886,26.563123,0.172958,148.220918,17.342810,94.805564,986.679354,86.141933,0.065503,0.115978,0.000000,1.626000
Data/dataUsedFor1k/MAC000005.txt6,12,106,29.871200,36.310388,36.350837,21.691922,0.111400,148.220918,17.342810,94.805564,986.679354,86.141933,0.072928,0.120204,0.000000,1.158000
Data/dataUsedFor1k/MAC000005.txt7,12,106,34.699800,40.897921,40.898901,17.864949,0.002397,148.220918,17.342810,94.805564,986.679354,86.141933,0.084716,0.149221,0.000000,1.796000
Data/dataUsedFor1k/MAC000005.txt8,12,106,32.830600,39.027529,39.051122,18.947329,0.060451,148.220918,17.342810,94.805564,986.679354,86.141933,0.080153,0.135896,0.000000,1.860000
Data/dataUsedFor1k/MAC000005.txt9,12,106,29.677600,36.229220,36.216246,22.032260,-0.035811,148.220918,17.342810,94.805564,986.679354,86.141933,0.072455,0.122498,0.000000,1.400000
Data/dataUsedFor1k/MAC000005.txt10,12,106,30.136600,36.618610,36.565436,21.332320,-0.145212,148.220918,17.342810,94.805564,986.679354,86.141933,0.073576,0.123951,0.000000,1.648000
Data/dataUsedFor1k/MAC000005.txt11,12,106,22.707200,30.261925,30.224899,33.107118,-0.122352,148.220918,17.342810,94.805564,986.679354,86.141933,0.055438,0.093801,0.000000,0.917000
Data/dataUsedFor1k/MAC000005.txt12,12,106,20.667800,28.737779,28.794738,39.321736,0.198201,148.220918,17.342810,94.805564,986.679354,86.141933,0.050458,0.093615,0.000000,1.750000
Data/dataUsedFor1k/MAC000005.txt13,12,106,16.390600,25.112386,25.074846,52.983086,-0.149490,148.220918,17.342810,94.805564,986.679354,86.141933,0.040016,0.069808,0.000000,1.065000
Data/dataUsedFor1k/MAC000005.txt14,12,106,21.485000,29.091549,29.162533,35.734388,0.244002,148.220918,17.342810,94.805564,986.679354,86.141933,0.052454,0.081197,0.000000,1.132000
Data/dataUsedFor1k/MAC000005.txt15,12,106,21.798600,29.233482,29.244752,34.158853,0.038552,148.220918,17.342810,94.805564,986.679354,86.141933,0.053219,0.076226,0.000000,0.860000
Data/dataUsedFor1k/MAC000005.txt16,12,106,19.980800,28.019591,28.038745,40.328442,0.068361,148.220918,17.342810,94.805564,986.679354,86.141933,0.048781,0.083636,0.000000,1.295000
Data/dataUsedFor1k/MAC000005.txt17,12,106,26.812400,33.686785,33.641094,25.468419,-0.135634,148.220918,17.342810,94.805564,986.679354,86.141933,0.065460,0.108448,0.000000,1.698000
Data/dataUsedFor1k/MAC000005.txt18,12,106,25.979000,33.880992,33.869702,30.373386,-0.033322,148.220918,17.342810,94.805564,986.679354,86.141933,0.063425,0.136964,0.000000,1.593000
Data/dataUsedFor1k/MAC000005.txt19,12,106,30.253600,36.666559,36.678991,21.238436,0.033908,148.220918,17.342810,94.805564,986.679354,86.141933,0.073861,0.122545,0.000000,1.421000
